,,
,Ville,Région
1,Dakar,Dakar
2,Pikine,Dakar
3,Touba,Diourbel
4,Guédiawaye,Dakar
5,Thiès,Thiès
6,Kaolack,Kaolack
7,Mbour,Thiès
8,Saint-Louis,Saint-Louis
9,Rufisque,Dakar
10,Ziguinchor,Ziguinchor
11,Diourbel,Diourbel
12,Louga,Louga
13,Tambacounda,Tambacounda
14,Mbacké,Diourbel
15,Kolda,Kolda
16,Richard-Toll,Saint-Louis
17,Bargny,Dakar
18,Tivaouane,Thiès
19,Joal-Fadiouth,Thiès
20,Dahra,Louga
21,Kaffrine,Kaolack
22,Bignona,Ziguinchor
23,Fatick,Fatick
24,Vélingara,Kolda
25,Bambey,Diourbel
26,Sébikhotane,Dakar
27,Dagana,Saint-Louis
28,Sédhiou,Kolda
29,Nguékhokh,Thiès
30,Diawara,Thiès
30,Kédougou,Tambacounda
31,Pout,Thiès
32,Kayar,Thiès
33,Matam,Matam
34,Meckhe,Thiès
35,Nioro du Rip,Kaolack
36,Ourossogui,Matam
37,Kébémer,Louga
38,Ndioum,Saint-Louis
39,Koungheul,Kaolack
40,Guinguinéo,Fatick
41,Linguère,Louga
42,Khombole,Thiès
43,Bakel,Tambacounda
44,Sokone,Fatick
45,Diamniadio,Dakar
46,Mboro,Thiès
47,Thiadiaye,Thiès
48,Goudomp,Kolda
49,Podor,Saint-Louis
50,Gossas,Fatick
51,Kanel,Matam
52,Rosso,Saint-Louis
53,Ndoffane,Kaolack
54,Gandiaye,Kaolack
